고객 이름,Membership Type,시도,시군구,상세주소(도로명주소).1.1,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
구영연세뷰치과의원,DS Core Care 1-3,울산광역시,울주군,범서읍 구영로 104,052-212-2875,Primescan Connect,6795491,M6785344S803672/PF41N1CY,2023-10-20,113529,EAST
라이크치과의원,DS Core Care 1-3,서울특별시,마포구,신촌로 104,02-6951-0011,Primescan Connect,6795491,M6785344S803691/PF42GV1B,2023-10-19,110474,WEST
스타티스치과의원,,서울특별시,송파구,잠실동 19-9 파인애플상가 5층27호,02-424-2854,Primescan Connect,6795491,M6785344S803583 / PF42DGTQ,2023-10-18,113532,EAST
역전뿌리깊은치과의원,DS Core Care 1-3,경상남도,진주시,관문로4,055-762-7528,Primescan Connect,6795491,M6785344S803690/PF42H1WH,2023-10-18,113521,EAST
원주샘치과의원,DS Core Care 1-3,강원특별자치도,원주시,치악로 1793,033-764-7878,Primescan Connect,6795491,M6785344S803689/PF42H8LM,2023-10-17,110972,EAST
의료법인 승연의료재단 삼천포서울병원,,경상남도,사천시,남일로 33 ,055-830-9051,Primescan Connect,6795491,M6785344S803688/PF42GPH8,2023-10-17,113511,EAST
서울치과의원,DS Core Care 1-3,충청북도,청주시,상당구 월평로 190,043-286-3132,Primescan Connect,6795491,M6785344S803687/PF42D7WN,2023-10-17,113510,WEST
서울안치과,DS Core Care 1-3,서울특별시,관악구,신림로 108,02-874-4868,Primescan Connect,6795491,M6785344S803660/PF42H448,2023-10-18,106470,WEST
수영하임치과,DS Core Care 1-3,부산광역시,수영구,수영로 654,051-751-2875,Primescan Connect,6795491,M6785344S803686/PF42H6AB,2023-10-16,113512,EAST
서울버팀치과,DS Core Care 1-3,경기도,오산시,경기대로 274,031-831-5569,Primescan Connect,6795491,M6785344S803657/PF42GZK2,2023-10-26,107394,WEST
지산리더스치과의원,DS Core Care 1-3,대구광역시,수성구,지범로 163,053-784-1483,Primescan Connect,6795491,M6785344S803702 / PF42H1LX,2023-10-26,111400,EAST
포근한치과의원,,서울특별시,관악구,남부순환로 1600,02-6297-2875,Primescan Connect,6795491,M6785344S803701/PF42D11D,2023-10-26,113544,WEST
바른탑치과의원_경기 부천,DS Core Care 1-3,경기도,부천시,원종로 37,032-235-2279,Primescan Connect,6795491,M6785344S803666/PF42KC26,2023-10-25,113540,WEST
서울이레소망치과의원_서울 강동,DS Core Care 1-3,서울특별시,강동구,고덕로 433,02-429-2891,Primescan Connect,6795491,M6785344S 803603/PF41QHBG,2023-10-24,113533,EAST
이턱바로치과의원,DS Core Care 1-3,경기도,남양주시,진접읍 금강로 1545-1,031-571-0571,Primescan Connect,6795491,M6785344S803700/PF42JF05,2023-10-23,113561,EAST
하이브치과의원,DS Core Care 1-3,부산광역시,부산진구,가야대로 772,,Primescan Connect,6795491,M6785344S803693/PF42GM80,2023-10-23,113527,EAST
첫마을치과의원,DS Core Care 1-3,세종특별자치시,,한누리대로 165,044-867-2275,Primescan Connect,6795491,M6785344S803692/PF42JXP6,2023-10-23,113463,WEST
예담치과의원_충남 아산시,DS Core Care 1-3,충청남도,아산시,풍기동  440 동일하이빌상가 2층 209,041-549-2879,Primescan Connect,6795491,M6785344S803682/PF41NQXP,2023-10-12,113508,WEST
바르게고치과의원,DS Core Care 1-3,인천광역시,연수구,하모니로178번길 6,032-833-2175,Primescan Connect,6795491,M6785344S803627 / PF41E603,2023-10-12,113519,WEST
서울신명상치과,DS Core Care 1-3,경기도,안양시,동안구 평촌대로223번길 42,031-387-2775,Primescan Connect,6795491,M6785344S803681/PF42DJPE,2023-10-11,112460,WEST
은혜부부치과의원,DS Core Care 1-3,서울특별시,노원구,공릉동 421-19 현대플라자 302,02-949-7542,Primescan Connect,6795491,M6785344S803625 / PF42GM4F,2023-10-11,106743,EAST
이형순치과의원,DS Core Care 1-3,대전광역시,서구,월평동 540,042-471-2827,Primescan Connect,6795491,M6785344S803623/PF41QMRW,2023-10-11,113505,WEST
스카이치과-부천,DS Core Care 1-3,경기도,부천시,원미구 부일로 753 ,032-341-2875,Primescan Connect,6795491,M6785344S803679/PF42H8AT,2023-10-10,102680,WEST
에코플란트U치과의원,,충청남도,아산시,온천대로 1365,041-546-2877,Primescan Connect,6795491,M6785344S803677/PF42JH96,2023-10-10,113501,WEST
