고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
무안제일치과기공소,,전라남도,무안군,무안읍 성남리 236,061-454-2825,MULTIMAT  NTX 230V,5460270001,44861661/GOE1821018,2021-07-02,106958,WEST
제니스덴탈 주식회사,,서울특별시,광진구,능동로 351,070-7773-2804,MULTIMAT  NTX 230V,5460270001,44910118,2021-04-20,111910,EAST
하늘치과기공소-경기,,경기도,고양시,일산동구 고봉로 278번길 11,031-975-1415,MULTIMAT  NTX 230V,5460270001,44761301,2021-04-12,106187,WEST
황인철치과기공소,,경기도,안산시,단원구 광덕3로 145-7 203호,031-480-8035,MULTIMAT  NTX 230V,5460270001,44861736,2020-03-11,,WEST
명인치과,,경기도,고양시,덕양구 푸른마을로 30 서정프라자 3층,031-962-7529,MULTIMAT  NTX 230V,5460270001,44660965,2019-11-28,106733,WEST
홀인원치과기공소_인천 부평구,,인천광역시,부평구,마장로460번길 8,032-528-2801,MULTIMAT  NTX 230V,5460270001,44861678,2019-11-27,101117,WEST
에이플러스치과기공소_서울 금천구,,서울특별시,금천구,가산디지털2로 98 롯데IT캐슬 1동 918호,,MULTIMAT  NTX 230V,5460270001,44861603,2019-07-03,,WEST
신진 치과기공소,,부산광역시,동래구,사직북로33번길 25,,MULTIMAT  NTX 230V,5460270001,44861733,2019-06-19,,EAST
우리치과기공소,,경상남도,거제시,수양1길 51,055-634-2804,MULTIMAT  NTX 230V,5460270001,44861710,2019-06-18,,EAST
KL치과기공소,,충청남도,천안시,서북구 봉정로 120-5,041-579-2804,MULTIMAT  NTX 230V,5460270001,44861636,2019-06-17,104479,WEST
현대치과기공소,,서울특별시,양천구,신목로 24,02-2604-2805,MULTIMAT  NTX 230V,5460270001,44861557,2019-05-23,111043,WEST
(주)정성치과덴탈랩,,경기도,안양시,만안구 덕천로 33,031-468-2804,MULTIMAT  NTX 230V,5460270001,33460723,2019-04-25,112947,WEST
미치과기공소,,경기도,수원시,장안구 율전동 304-17 용호빌딩3층,031-296-2804,MULTIMAT  NTX 230V,5460270001,,2019-04-25,104295,WEST
안동제일치과병원,,경상북도,안동시,노하길 431,054-855-6363,MULTIMAT  NTX 230V,5460270001,44861575,2019-04-17,112094,EAST
