고객 이름,Membership Type,시도,시군구,상세주소,전화,제품,ref,제조번호,설치일자,AX 코드,S.Territory
사람사랑치과의원_전북 전주시,6368034 year generator/sensor warranty(3D),전북특별자치도,전주시,완산구 온고을로 18 ,063-275-7578,Axeos,Axeos,1197,2025-02-27,101820,WEST
서울매일치과병원,6368034 year generator/sensor warranty(3D),강원특별자치도,원주시,만대공원길 59,033-812-2882,Axeos,Axeos,1196,2024-08-19,114204,EAST
이운철치과,6368034 year generator/sensor warranty(3D),경상북도,구미시,원남로 37,054-451-6060,Axeos,Axeos,1186,2024-03-27,111992,EAST
디지털프라임치과_경기 남양주,6368034 year generator/sensor warranty(3D),경기도,남양주시,늘을1로16번길 29,031-595-5300,Axeos,Axeos,1170,2023-12-28,111152,EAST
메이연세치과,6368034 year generator/sensor warranty(3D),서울특별시,송파구,문정로 83 문정래미안 상가 207호,02-401-0275,Axeos,Axeos,1184,2023-12-20,102424,EAST
이음구강악안면외과치과의원,6368034 year generator/sensor warranty(3D),충청남도,예산군,예산읍 금오대로 45.2층,041-335-9595,Axeos,Axeos,1169,2023-02-25,111276,WEST
뉴삼성치과,6368034 year generator/sensor warranty(3D),충청북도,진천군,진천읍 중앙북1길 3,043-930-2875,Axeos,Axeos,1120,2022-10-08,110710,WEST
예인치과의원_경남 창원,6368034 year generator/sensor warranty(3D),경상남도,창원시,의창구 원이대로 581,055-273-7528,Axeos,Axeos,1121,2022-09-29,111915,EAST
더블유화이트치과의원,6368034 year generator/sensor warranty(3D),서울특별시,강남구,테헤란로87길 17 ,02-564-0075,Axeos,Axeos,1001,2022-06-24,105522,EAST
미소현치과의원,6368034 year generator/sensor warranty(3D),서울특별시,영등포구,여의대방로 83,02-844-2080,Axeos ceph,Axeos_C,1224,2025-04-29,111498,WEST
백진우치과의원,6368034 year generator/sensor warranty(3D),서울특별시,양천구,목동동로8길 17 ,02-2652-2011,Axeos ceph,Axeos_C,1202,2025-01-02,112058,WEST
형제치과의원,6368034 year generator/sensor warranty(3D),제주특별자치도,서귀포시,중정로 104,064-763-9800,Axeos ceph,Axeos_C,1200,2024-07-31,113832,WEST
램브란트치과 (상인점),6368034 year generator/sensor warranty(3D),대구광역시,달서구,월배로 175 ,053-643-2875,Axeos ceph,Axeos_C,1199,2023-12-28,108232,EAST
아이브 치과의원,6368034 year generator/sensor warranty(3D),전북특별자치도,전주시,덕진구 세병로 21,063-717-2882,Axeos ceph,Axeos_C,1198,2023-12-06,113638,WEST
